,open,high,low,close,volume
1999-11-01,77.63,78.31,75.94,76.0,22934100
1999-11-02,77.06,78.19,76.56,77.5,20338200
1999-11-03,78.38,80.69,77.75,79.75,25240100
1999-11-04,80.44,81.75,80.19,81.56,21843500
1999-11-05,82.38,83.88,81.81,82.38,19837200
1999-11-08,81.56,83.13,80.75,82.13,13471200
1999-11-09,82.25,82.31,79.38,80.06,16851400
1999-11-10,79.0,81.5,78.25,79.0,17087600
1999-11-11,79.81,80.44,78.13,79.44,16093100
1999-11-12,79.13,79.38,74.56,76.19,43757600
1999-11-15,76.19,76.23,74.0,74.06,19666900
1999-11-16,74.5,77.0,73.63,76.56,27868700
1999-11-17,77.06,78.75,74.5,74.75,23543200
1999-11-18,75.69,78.5,75.64,78.5,18853200
1999-11-19,78.0,80.38,77.75,79.88,23248600
1999-11-22,80.88,81.38,78.88,80.5,18435400
1999-11-23,80.66,81.25,78.0,79.0,20521800
1999-11-24,79.94,82.25,79.13,82.19,16813400
1999-11-26,82.0,82.25,80.19,80.25,7091100
1999-11-29,80.25,80.31,78.25,78.94,16325600
1999-11-30,78.44,79.69,76.56,76.69,17432900
1999-12-01,76.06,77.56,75.0,76.31,22778300
1999-12-02,75.63,78.13,75.5,77.56,15559200
1999-12-03,79.0,80.0,78.5,78.69,18271100
1999-12-06,78.81,79.38,77.19,77.88,14320000
1999-12-07,78.25,78.44,76.31,77.19,16827100
1999-12-08,76.44,77.31,74.0,74.5,26340100
1999-12-09,75.63,75.63,72.13,73.25,26913300
1999-12-10,73.5,74.0,71.63,72.25,28117400
1999-12-13,71.25,75.19,70.56,74.81,23902400
1999-12-14,74.63,75.0,72.38,72.44,20871700
1999-12-15,72.2,79.23,72.13,78.94,41023400
1999-12-16,79.75,81.13,79.38,80.25,25080100
1999-12-17,81.38,83.0,80.5,82.06,34734800
1999-12-20,82.88,83.19,79.13,81.06,18125700
1999-12-21,80.56,83.25,80.0,82.88,17335200
1999-12-22,83.06,83.63,81.63,82.5,12463300
1999-12-23,83.38,83.94,82.5,83.13,10820800
1999-12-27,83.44,85.13,82.63,85.06,14305500
1999-12-28,84.44,85.5,82.88,83.0,11728700
1999-12-29,82.63,84.88,82.44,83.88,8012100
1999-12-30,84.31,85.38,82.75,83.69,7442700
1999-12-31,83.81,83.88,81.94,82.31,5786000
2000-01-03,83.27,87.38,83.25,87.0,28855100
2000-01-04,85.44,87.88,82.25,82.94,25509800
2000-01-05,83.0,85.25,80.5,84.63,26194500
2000-01-06,81.75,83.38,78.19,78.75,27585600
2000-01-07,77.5,82.0,77.38,82.0,20548200
2000-01-10,85.75,87.25,84.13,85.75,26809900
2000-01-11,88.56,92.38,88.28,89.69,52740900
2000-01-12,90.88,94.75,89.25,91.25,48663300
2000-01-13,92.69,93.0,89.31,91.06,38052100
2000-01-14,98.44,106.6,98.25,103.1,92202600
2000-01-18,100.3,105.8,100.3,102.1,51050300
2000-01-19,101.0,102.1,99.88,100.1,22784000
2000-01-20,99.75,100.8,95.44,95.63,35001000
2000-01-21,96.0,98.25,95.63,97.94,27779100
2000-01-24,102.3,104.9,98.25,98.81,37416300
2000-01-25,99.38,101.8,97.44,101.6,25691300
2000-01-26,100.8,101.2,96.38,96.5,24653100
2000-01-27,99.38,101.1,95.5,98.13,30741000
2000-01-28,97.25,98.75,93.06,94.0,26961400
2000-01-31,93.63,99.06,92.88,98.94,34226600
2000-02-01,98.38,101.5,96.63,101.4,24025700
2000-02-02,101.0,102.94,99.69,100.06,26040300
2000-02-03,101.7,104.6,100.8,104.2,28063000
2000-02-04,104.4,108.3,104.3,104.8,27976900
2000-02-07,104.9,108.1,104.9,107.9,21405000
2000-02-08,108.8,110.1,108.0,108.8,19013000
2000-02-09,108.1,108.9,104.5,104.6,19307600
2000-02-10,104.4,108.1,103.2,107.6,21769600
2000-02-11,107.3,108.8,105.3,105.9,18878000
2000-02-14,106.3,109.9,105.6,109.9,17187100
2000-02-15,109.9,112.9,105.3,112.0,31385700
2000-02-16,111.4,112.9,107.0,107.2,23025000
2000-02-17,108.9,112.4,107.9,110.0,24334800
2000-02-18,110.0,110.5,105.2,105.4,25185000
2000-02-22,104.9,106.8,101.6,106.8,22896800
2000-02-23,105.3,111.1,104.3,109.1,20421000
2000-02-24,112.4,116.5,110.3,114.3,42673900
2000-02-25,113.9,115.4,112.8,113.3,23149500
2000-02-28,111.6,114.6,108.3,112.4,23711100
2000-02-29,113.2,115.6,111.3,113.0,22207100
2000-03-01,112.9,116.9,112.5,115.9,20406500
2000-03-02,115.4,117.1,114.1,115.8,18234900
2000-03-03,117.0,119.8,115.6,119.3,17142500
2000-03-06,118.0,118.9,116.7,117.4,14016000
2000-03-07,117.8,119.6,115.2,115.8,19962100
2000-03-08,116.1,116.4,112.3,114.9,23195600
2000-03-09,113.7,118.5,112.0,118.4,19187900
2000-03-10,117.9,120.6,117.4,120.2,21748800
2000-03-13,118.8,125.5,118.8,122.1,33719600
2000-03-14,124.3,125.6,117.8,117.9,28392500
2000-03-15,119.1,123.1,118.7,120.2,24447800
2000-03-16,123.3,125.4,119.6,125.1,27486400
2000-03-17,124.3,130.0,124.0,129.9,30425500
2000-03-20,129.9,137.4,129.9,135.0,32581800
2000-03-21,135.0,138.9,134.1,138.4,25615500
2000-03-22,140.4,145.4,139.5,144.1,26846600
2000-03-23,142.4,143.7,139.4,142.6,22796900
2000-03-24,140.12,144.5,137.62,139.06,23449000
2000-03-27,139.6,143.8,139.1,142.7,17883100
2000-03-28,140.6,142.6,135.1,135.7,22428900
2000-03-29,136.5,137.7,131.5,131.9,30662700
2000-03-30,129.8,133.4,123.1,127.0,35823400
2000-03-31,129.6,134.9,128.3,131.9,29221100
2000-04-03,131.4,133.0,125.8,130.6,25035800
2000-04-04,131.5,134.0,119.7,132.8,43670900
2000-04-05,129.9,134.0,127.8,129.9,31050900
2000-04-06,129.3,131.6,127.0,129.8,27567000
2000-04-07,131.4,137.0,131.3,136.8,25678600
2000-04-10,137.5,139.1,130.9,131.1,22424500
2000-04-11,130.0,134.3,127.5,130.8,26535600
2000-04-12,129.9,131.9,121.8,121.9,30084800
2000-04-13,123.4,129.3,120.8,121.1,34707300
2000-04-14,119.2,120.8,108.4,110.5,46400200
2000-04-17,110.0,123.3,109.7,123.0,44436700
2000-04-18,126.6,131.0,125.3,129.0,49279000
2000-04-19,125.6,125.8,118.9,119.1,43688900
2000-04-20,117.9,119.4,115.0,115.4,22899500
2000-04-24,111.0,116.5,110.4,116.1,29160100
2000-04-25,119.7,125.3,119.5,125.0,25671200
2000-04-26,124.3,125.0,120.6,120.8,23786000
2000-04-27,117.6,126.6,117.0,125.3,30544200
2000-04-28,128.0,129.1,125.9,126.8,22168200
2000-05-01,127.9,131.0,126.3,127.1,21194900
2000-05-02,125.9,127.6,120.9,121.2,21935700
2000-05-03,120.1,120.6,115.9,119.1,29494300
2000-05-04,118.8,120.6,117.1,119.6,20492400
2000-05-05,119.0,123.9,119.0,123.4,17108700
2000-05-08,122.3,122.7,117.5,117.6,20468900
2000-05-09,118.4,119.3,115.0,116.9,21527000
2000-05-10,114.5,116.5,105.1,106.1,48612800
2000-05-11,107.1,116.0,106.4,115.6,35133800
2000-05-12,116.6,119.5,114.8,115.0,19214700
2000-05-15,114.6,118.3,112.8,118.1,20552700
2000-05-16,119.8,122.9,118.7,121.9,22234200
2000-05-17,122.4,125.4,120.4,123.2,32771600
2000-05-18,123.9,126.5,123.1,123.9,25070700
2000-05-19,121.9,123.6,116.3,117.9,35984000
2000-05-22,117.5,118.6,111.4,118.4,29624800
2000-05-23,117.8,119.9,109.8,109.9,25192900
2000-05-24,109.6,118.2,109.5,117.4,37741100
2000-05-25,118.7,122.3,113.6,115.2,25244400
2000-05-26,115.0,119.9,114.4,117.6,15425500
2000-05-30,119.3,125.9,119.1,125.8,20884000
2000-05-31,126.3,127.9,124.8,125.6,27044800
2000-06-01,126.2,130.0,126.1,129.7,22989200
2000-06-02,132.8,134.6,132.0,134.2,21328700
2000-06-05,132.6,135.0,131.2,132.6,19588000
2000-06-06,131.3,135.1,129.5,129.6,23712600
2000-06-07,129.3,129.4,125.7,128.9,19876700
2000-06-08,129.6,131.5,126.0,126.2,17197000
2000-06-09,127.9,128.0,125.5,127.1,13759600
2000-06-12,127.8,128.0,124.6,125.1,12973500
2000-06-13,124.5,131.9,124.1,131.5,19563300
2000-06-14,130.9,131.3,126.0,126.4,18504400
2000-06-15,126.7,130.1,126.5,128.3,16705500
2000-06-16,129.3,129.7,125.9,126.1,22043100
2000-06-19,128.4,136.7,128.4,136.5,30610600
2000-06-20,135.9,140.3,135.9,138.3,29289700
2000-06-21,136.4,139.3,136.1,139.0,16445700
2000-06-22,138.0,138.4,134.0,134.1,14848100
2000-06-23,135.3,137.5,134.1,134.4,15160800
2000-06-26,135.8,137.2,132.6,134.2,14952400
2000-06-27,133.9,136.5,131.3,131.4,16685200
2000-06-28,131.9,135.7,131.0,132.4,15315900
2000-06-29,131.1,134.4,130.9,131.8,23568100
2000-06-30,130.9,134.1,129.6,133.7,20715600
2000-07-03,134.1,136.9,133.7,136.9,7541900
2000-07-05,133.1,134.5,131.4,131.6,21002600
2000-07-06,131.5,136.8,131.4,136.6,22453100
2000-07-07,137.8,139.9,136.1,139.3,18643400
2000-07-10,137.8,140.0,137.0,137.8,15674700
2000-07-11,138.3,141.3,137.1,138.8,21391000
2000-07-12,140.3,142.3,138.8,141.2,14912100
2000-07-13,140.4,145.0,140.3,143.2,22588000
2000-07-14,144.0,147.1,143.1,146.7,18735900
2000-07-17,146.6,147.5,144.4,146.3,23290000
2000-07-18,144.8,144.8,141.4,143.0,25341800
2000-07-19,144.9,146.1,138.0,138.1,36094200
2000-07-20,138.9,143.3,137.9,142.7,30244200
2000-07-21,142.1,142.3,138.1,138.2,16043300
2000-07-24,138.2,142.0,137.6,138.0,19917700
2000-07-25,138.7,141.9,137.7,140.9,14811600
2000-07-26,139.0,140.1,136.6,139.0,23319900
2000-07-27,138.5,140.4,136.0,137.0,19611900
2000-07-28,138.0,139.4,128.8,129.1,27716900
2000-07-31,65.44,67.56,64.5,66.75,15235350
2000-08-01,67.06,67.38,64.25,64.63,25001100
2000-08-02,65.25,66.13,63.19,63.31,33226800
2000-08-03,61.81,65.38,60.56,65.06,34941100
2000-08-04,66.22,66.25,61.44,62.56,34939700
2000-08-07,62.63,64.38,61.13,62.94,30634400
2000-08-08,62.75,63.38,61.5,61.63,24900100
2000-08-09,62.88,64.88,62.84,63.56,30071900
2000-08-10,63.19,64.81,62.0,62.0,16678400
2000-08-11,61.88,64.13,60.81,63.81,22509600
2000-08-14,64.44,67.0,63.63,66.94,25665000
2000-08-15,66.81,68.75,66.0,67.88,34464300
2000-08-16,68.63,69.5,68.0,68.69,24609500
2000-08-17,68.5,71.5,68.44,70.06,40495900
2000-08-18,71.0,72.94,70.25,70.56,35795600
2000-08-21,72.67,74.06,70.56,72.06,46024300
2000-08-22,72.47,73.56,72.13,72.13,31693500
2000-08-23,71.44,74.88,70.69,74.63,36177000
2000-08-24,74.56,74.63,73.0,74.25,23352900
2000-08-25,73.88,74.44,72.63,72.94,20844200
2000-08-28,73.25,75.81,73.0,73.88,42760500
2000-08-29,73.31,74.94,73.13,74.06,23023100
2000-08-30,73.75,74.38,72.75,73.5,21770400
2000-08-31,73.88,75.63,73.63,74.88,28530700
2000-09-01,75.63,75.69,73.44,73.94,18322000
